ES_L01462606_2020_EXP_158090958827813212141841656493;L01462606;85991
ES_L01462606_2020_EXP_158092076126935799728826958588;L01462606;86048
ES_L01462606_2020_EXP_158092373086143100051566714513;L01462606;86057
ES_L01462606_2020_EXP_158097960604201146246341185295;L01462606;86175
ES_L01462606_2020_EXP_158098320020809882255704252792;L01462606;86221
ES_L01462606_2020_EXP_158098648643296884188869485105;L01462606;86272
ES_L01462606_2020_EXP_158099614395340710361178588342;L01462606;86456
ES_L01462606_2020_EXP_158099632411694960952033546630;L01462606;86458
ES_L01462606_2020_EXP_158099643403945793121751390454;L01462606;86460
ES_L01462606_2020_EXP_158106175105918905538462439970;L01462606;86644
ES_L01462606_2020_EXP_158106206220454491840998034627;L01462606;86650
ES_L01462606_2020_EXP_158106470107446902977333495063;L01462606;86686
ES_L01462606_2020_EXP_158106873943808200465328573334;L01462606;86740
ES_L01462606_2020_EXP_158108394480283360046631785176;L01462606;87052
ES_L01462606_2020_EXP_158132448333521397793113166322;L01462606;87211
ES_L01462606_2020_EXP_158133127728806637971968921700;L01462606;87294
ES_L01462606_2020_EXP_158133620668149393995155092936;L01462606;87363
ES_L01462606_2020_EXP_158134145571196404840805209631;L01462606;87479
ES_L01462606_2020_EXP_158140894149017021197158028042;L01462606;87595
ES_L01462606_2020_EXP_158141384895795781655722540265;L01462606;87656
ES_L01462606_2020_EXP_158141481006004018167900488053;L01462606;87665
ES_L01462606_2020_EXP_158141563196980849294068069727;L01462606;87673
ES_L01462606_2020_EXP_158141617739757225280821596266;L01462606;87682
ES_L01462606_2020_EXP_158142448447949174464645767124;L01462606;87808
ES_L01462606_2020_EXP_158142793665750077885688494621;L01462606;87847
ES_L01462606_2020_EXP_158142902730590723959000839970;L01462606;87856
ES_L01462606_2020_EXP_158149990680449077722275009798;L01462606;88058
ES_L01462606_2020_EXP_158151074533559767784504963990;L01462606;88240
ES_L01462606_2020_EXP_158151096522268350697884178284;L01462606;88245
ES_L01462606_2020_EXP_158158556599269301534202896935;L01462606;88472
ES_L01462606_2020_EXP_158158565743671539572919542724;L01462606;88475
ES_L01462606_2020_EXP_158159265657010881445569989771;L01462606;88582
ES_L01462606_2020_EXP_158159543502541427590926214954;L01462606;88624
ES_L01462606_2020_EXP_158159667695131553290121242739;L01462606;88634
ES_L01462606_2020_EXP_158159825303603185018228415956;L01462606;88654
ES_L01462606_2020_EXP_158159995289514974226740743691;L01462606;88676
ES_L01462606_2020_EXP_158166785040014971191957450693;L01462606;88828
ES_L01462606_2020_EXP_158167995803390167312913059208;L01462606;88946
ES_L01462606_2020_EXP_158168682968825872108209275186;L01462606;89042
ES_L01462606_2020_EXP_158201773415217578784161309845;L01462606;89688
ES_L01462606_2020_EXP_158202124973924687678678305276;L01462606;89724
ES_L01462606_2020_EXP_158202219746307156740336418953;L01462606;89739
ES_L01462606_2020_EXP_158202346331999951115292443051;L01462606;89751
ES_L01462606_2020_EXP_158203021131618996138784523903;L01462606;89858
ES_L01462606_2020_EXP_158209942661756251737928149647;L01462606;90062
ES_L01462606_2020_EXP_158210110688589964575029656595;L01462606;90090
ES_L01462606_2020_EXP_158210650687542004304700212247;L01462606;90172
ES_L01462606_2020_EXP_158211808841920341295819093862;L01462606;90351
ES_L01462606_2020_EXP_158212077184953759946029183125;L01462606;90389
ES_L01462606_2020_EXP_158218513985033250519088774994;L01462606;90493
ES_L01462606_2020_EXP_158218803946519708770775439801;L01462606;90526
ES_L01462606_2020_EXP_158218917381733898146031409557;L01462606;90557
ES_L01462606_2020_EXP_158219456272825754856945785071;L01462606;90608
ES_L01462606_2020_EXP_158220282072816891770032252756;L01462606;90733
ES_L01462606_2020_EXP_158227404549050143640381239801;L01462606;90950
ES_L01462606_2020_EXP_158227693756819398722759762350;L01462606;90995
ES_L01462606_2020_EXP_158228031641978630244379779692;L01462606;91068
ES_L01462606_2020_EXP_158228376456254116399945379738;L01462606;91126
ES_L01462606_2020_EXP_158228420312930659104345666318;L01462606;91135
ES_L01462606_2020_EXP_158228482930858536524507144626;L01462606;91151
ES_L01462606_2020_EXP_158228686328198434444659318651;L01462606;91190
ES_L01462606_2020_EXP_158271364844183256192383177805;L01462606;92515
ES_L01462606_2020_EXP_158271373586831959788373368796;L01462606;92516
ES_L01462606_2020_EXP_158271390867445184690336416268;L01462606;92520
ES_L01462606_2020_EXP_158271426621836996289346852046;L01462606;92525
ES_L01462606_2020_EXP_158272674273678952066902913260;L01462606;92729
ES_L01462606_2020_EXP_158278929686020413000665580689;L01462606;92804
ES_L01462606_2020_EXP_158279017746465225780351489873;L01462606;92811
ES_L01462606_2020_EXP_158279073926065670393710149491;L01462606;92816
ES_L01462606_2020_EXP_158279265826926056109345373204;L01462606;92845
ES_L01462606_2020_EXP_158279313732555423158063458395;L01462606;92856
ES_L01462606_2020_EXP_158279605197885874760856409877;L01462606;92904
ES_L01462606_2020_EXP_158280420397303415194653794495;L01462606;93011
ES_L01462606_2020_EXP_158281020195393132530564889953;L01462606;93094
ES_L01462606_2020_EXP_158288372405779325085570354954;L01462606;93316
ES_L01462606_2020_EXP_158289256068063510536501872798;L01462606;93434
ES_L01462606_2020_EXP_158289415633615870697617217833;L01462606;93474
ES_L01462606_2020_EXP_158289550265028143925480978108;L01462606;93495
ES_L01462606_2020_EXP_158289589499967449078259067594;L01462606;93499
ES_L01462606_2020_EXP_158289652039946568087246337240;L01462606;93509
ES_L01462606_2020_EXP_158313916175989814209799149947;L01462606;93651
ES_L01462606_2020_EXP_158314473653840395369568347999;L01462606;93719
ES_L01462606_2020_EXP_158314730504502447245286949871;L01462606;93751
ES_L01462606_2020_EXP_158314897195042996044370653065;L01462606;93773
ES_L01462606_2020_EXP_158315074057991195717589261440;L01462606;93811
ES_L01462606_2020_EXP_158315170809652187299380262380;L01462606;93835
ES_L01462606_2020_EXP_158315712191454370195227940513;L01462606;93892
ES_L01462606_2020_EXP_158316028008076967350959115840;L01462606;93910
ES_L01462606_2020_EXP_158316178488949913055041746953;L01462606;93917
ES_L01462606_2020_EXP_158316191552622259916840589340;L01462606;93918
ES_L01462606_2020_EXP_158316204510823303817526750026;L01462606;93919
ES_L01462606_2020_EXP_158316218202412530788046411620;L01462606;93921
ES_L01462606_2020_EXP_158316230964860281516505947002;L01462606;93924
ES_L01462606_2020_EXP_158322085800878531010998647981;L01462606;94051
ES_L01462606_2020_EXP_158322449908219704728296233015;L01462606;94104
ES_L01462606_2020_EXP_158324180813849870302970301864;L01462606;94400
ES_L01462606_2020_EXP_158324787115081154208426197791;L01462606;94453
ES_L01462606_2020_EXP_158324845333688538986005566430;L01462606;94454
ES_L01462606_2020_EXP_158325021372811051967849062034;L01462606;94472
ES_L01462606_2020_EXP_158332071641567241479788759022;L01462606;94837
ES_L01462606_2020_EXP_158332148771663481605853317267;L01462606;94848
ES_L01462606_2020_EXP_158332999707760081537956221754;L01462606;94990
ES_L01462606_2020_EXP_158340100032272171932794467066;L01462606;95202
ES_L01462606_2020_EXP_158340235983937285215003507022;L01462606;95213
ES_L01462606_2020_EXP_158340490668468206694969976303;L01462606;95238
ES_L01462606_2020_EXP_158341014681189604974290394428;L01462606;95323
ES_L01462606_2020_EXP_158341090587953252311883113044;L01462606;95335
ES_L01462606_2020_EXP_158341099339097134497310347521;L01462606;95339
ES_L01462606_2020_EXP_158341494937639533040750836093;L01462606;95421
ES_L01462606_2020_EXP_158341531634449357899957955877;L01462606;95429
ES_L01462606_2020_EXP_158341661082785887252621016922;L01462606;95455
ES_L01462606_2020_EXP_158348517331710406024523242148;L01462606;95682
